Initiales,nom,manufactureur,nb_jeu,sortie_eu,sortie_usa,sortir_jp,gen
NES,Nintendo Entertainment System,Nintendo,715 ,27/10/1987,18/10/1985,15/07/1983,3
SNES,Super Nintendo Entertainment System,Nintendo,1757 ,06/06/1992,23/08/1991,21/11/1990,4
N64,Nintendo 64,Nintendo,388,01/03/1997,29/09/1996,23/06/1996,5
GC,Nintendo GameCube,Nintendo,657,03/05/2001,18/11/2001,14/09/2001,6
Wii,Wii,Nintendo,1541,08/12/2006,19/11/2006,02/12/2006,7
WiiU,Wii U,Nintendo,772,30/11/2012,18/11/2012,08/12/2012,8
GB,GameBoy,Nintendo,1055,28/09/1989,31/07/1989,21/04/1989,4
GBC,GameBoy Color,Nintendo,660,23/11/1998,18/11/1998,21/10/1998,5
GBA,GameBoy Advance,Nintendo,1504,22/06/2001,11/06/2001,21/03/2001,6
DS,Nintendo DS,Nintendo,1965,11/03/2005,21/11/2004,02/12/2004,7
3DS,Nindentendo 3DS,Nintendo,1330,25/03/2011,27/03/2011,26/02/2011,8
PS,PlayStation,Sony,3066,29/09/1995,09/09/1995,03/12/1994,5
PS2,PlayStation 2,Sony,4490,24/11/2000,26/10/2000,04/03/2000,6
PS3,PlayStation 3,Sony,1442,23/03/2007,17/11/2006,11/11/2006,7
PS4,PlayStation 4,Sony,2504,29/11/2013,15/11/2013,22/02/2014,8
PSP,PlayStation Portable,Sony,1370,01/09/2005,24/03/2005,12/12/2004,7
PSV,PlayStation Vita,Sony,1535,22/02/2012,22/02/2012,17/12/2011,8
XB,Xbox,Microsoft,1000,14/03/2002,15/11/2001,22/02/2002,6
X360,Xbox 360,Microsoft,2084,02/12/2005,22/11/2005,10/12/2005,7
XOne,Xbox One,Microsoft,2440,22/11/2013,22/11/2013,04/09/2014,8
PC,PC,null,null,null,null,null,null
2600,Atari 2600,Atari Inc.,526,01/01/1978,11/09/1997,01/10/1983,2
SAT,Saturn,Sega,1094,08/07/1995,11/05/1995,22/11/1994,5
DC,Dreamcast,Sega,620,14/10/1999,09/09/1999,27/11/1998,6
GEN,Genesis,Sega,902,30/11/1990,14/08/1989,29/10/1988,4
NG,Neo-Geo,SNK,156,01/11/1990,null,26/04/1990,4
SCD,Sega CD,Sega,210,01/04/1993,15/10/1992,12/12/1991,4
WS,WonderSwan,Bandai,103,null,null,04/03/1999,6
PCFX,PC-FX,NEC,62,null,null,23/12/1994,5
GG,Game Gear,Sega,366,01/04/1991,01/04/1991,06/10/1990,4
TG16,TurboGrafx-16,NEC,686,22/11/1989,29/08/1989,30/10/1987,4
3DO,3DO Interactive Multiplayer,Panasonic,321,11/06/1994,4/10/1993,20/03/1994,5